Question,Answer,Type
Name the three biomes that are located closest to the equator.,"Tropical forest 
Savanna 
Desert",Structure
Briefly explain how the test for protein can be done in the laboratory.,"Take 2 cm3 protein solution and same volume of 5% potassium hydroxide and 
mix well 
add two drops 1% copper sulphate and stir
violet colour appears. ",Structure
Briefly describe the evolution of respiratory pigments in animals.,"Oxygen is less soluble in watery medium including blood
To overcome the problem of transportation of oxygen from respiratory surface to the tissues or organs of complex animals",Structure
Which character is responsible for the water act as thermal buffer?,High specific heat,Structure
State the specific features of the given chordata classes?,"Amphibia _ no marine forms 
Aves _ beak without teeth 
Mammalia _ muscular diaphragm 
Differentiated teeth 
Mammary gland ",Structure
What is meant by drought stress.,Plant wilt as a result of rate of transpiration is higher than the water absorption rate.,Structure
State the gland or structure that synthesize the  Coagulating enzymes,Seminal vesicles,Structure
Indicate the role of FSH and LH in the spermatogenesis in male reproductive system.,"FSH : Stimulates Sertoli cells to nourish the developing sperm 1Pt. 
LH: Stimulate Leydig cells to produce testosterone and other androgens to promote spermatogenesis ",Structure
Briefly explain how the enzymatic activities are regulated by cooperativity.," Binding of one substrate molecule 
can stimulate binding or activity at another active site 
thereby increase the catalytic activity.",Structure
"State the characteristics of a plasmid, which help to function Vector","Self-replicating unit
Consists of antibiotic resistant gene",Structure
"When a flaccid cell placed into pure water, what is the maximum value of Pp gets equal to which of the value of that cell?",¥s/ solute potential,Structure
Name the smallest carbohydrate found in organisms,Glyceraldehyde / Phosphoglyceraldehyde,Structure
"Give two characteristics which are common to smooth muscles and cardiac muscles, but cannot be seen in skeletal muscles.","Uninucleated
Involuntary movement",Structure
Give two viral diseases which are controlled by inactivated vaccines.,"Rabies, influenza, Polio",Structure
What is seed dormancy?,"Inhibition of embryo within the seed at one stage of maturation naturally, prevents germination of seeds within fruit",Structure
What is active immunity?,Active immunity is a long lasting immunity mediated by the action of B lymphocytes and T lymphocytes in the body,Structure
Write two economical usages of the end products of the above process.,"To produce alcohol/alcoholic solutions
Bakery products",Structure
write a short notes Inbreeding,"Inbreeding refers to the breeding of genetically similar individuals, which is used in both plant and animal breeding for specific purposes. In the context of plant breeding, inbreeding commonly refers to self-fertilization, where a flower is fertilized with its own pollen or with pollen from another flower on the same plant. This practice is used to produce an inbred variety, where the offspring are genetically identical generation after generation. Examples of plants where inbreeding is used include wheat, oats, barley, and tobacco. By maintaining genetic consistency, inbreeding in plants helps to stabilize desirable traits over time.

In animal breeding, inbreeding refers to the mating of closely related individuals, such as father and daughter, brother and sister, or cousins. This type of inbreeding increases homozygosity, which means that the offspring inherit identical alleles from both parents. While this can lead to the accumulation of desirable traits, it also has the risk of exposing harmful recessive genes that would normally remain hidden in a heterozygous state. As a result, inbred populations are more likely to express these deleterious genes, leading to inbreeding depression.

Inbreeding depression is the reduction in genetic fitness caused by continuous inbreeding. It results in decreased growth, fertility, and overall health of the population. Over time, this can have an adverse effect on productivity, making inbred populations less viable. To counter this, negatively affected individuals in the progeny are removed from the breeding pool to prevent the perpetuation of harmful traits.

Despite these risks, inbreeding is a valuable tool in agriculture because it allows for the accumulation of superior genes. By selectively breeding individuals with desirable traits, plant and animal breeders can develop stable, high-performing varieties or breeds that consistently exhibit these traits. However, in order to maintain genetic health and productivity, breeders must carefully manage the degree of inbreeding and monitor for signs of inbreeding depression.",Essay
What is the major functions of the secondary treatment stage ?,Microbial oxidation of organic matter,Structure
Briefly explain the way of inheritance of human sex linked characters.,"Inheritance of Human Sex-Linked Characters

In humans, the inheritance of sex-linked characters is closely associated with the genes located on the sex chromosomes, which are referred to as sex-linked genes. These genes determine various traits and conditions that can exhibit distinct inheritance patterns, particularly due to their location on the X and Y chromosomes.

The X chromosome carries a wide array of genes that are not solely related to sexual characteristics; thus, genes found on the X chromosome are classified as X-linked genes. In contrast, the Y chromosome contains significantly fewer genes, most of which are involved in male sex determination and spermatogenesis, thus referred to as Y-linked genes. Notably, disorders that are linked to genes on the Y chromosome can only be inherited through male progeny, as only males possess a Y chromosome.

One well-known example of a Y-linked condition is the absence of certain Y-linked genes that may lead to male infertility due to the inability to produce normal sperm. However, most of the focus in sex-linked inheritance pertains to conditions associated with X-linked genes, as these have more significant implications for human health.

X-linked conditions often manifest as recessive traits, with red-green color blindness and hemophilia being prominent examples. Hemophilia is an X-linked recessive disorder characterized by the absence of one or more proteins essential for blood clotting. Individuals with hemophilia are at a greater risk of severe bleeding because their bodies take longer to form clots.

The genetic basis for hemophilia is found on the X chromosome in a region that does not have a corresponding allele on the Y chromosome. This absence of a homologous allele means that males, who have only one X chromosome, only require one copy of the hemophilia allele to express the disorder. In contrast, females have two X chromosomes and would need to inherit the hemophilia allele on both X chromosomes to exhibit the disorder. As a result, the likelihood of females being hemophiliac is significantly lower than that of males.

This difference in inheritance patterns between males and females for X-linked traits explains why hemophilia is much rarer among females. The requirement of inheriting two alleles for a female to express hemophilia means that the condition primarily affects males, who are more likely to exhibit symptoms due to their single X-linked allele.

In summary, the inheritance of human sex-linked characters follows distinct patterns dictated by the presence of genes on the sex chromosomes. X-linked traits tend to be more prevalent in males due to their single X chromosome, while Y-linked traits are typically passed down exclusively through male offspring. Understanding these patterns is crucial for studying genetic conditions and their implications for human health.",Essay
Describe the actively acquired immunity with examples.,"Actively acquired immunity is a type of immunity that provides long-lasting protection (1) against specific pathogens. This immunity is mediated by the action of T and B lymphocytes (2), which play a critical role in identifying and destroying pathogens. Upon exposure to an antigen, the immune system produces T and B memory cells (3), which specifically target and destroy the pathogen if encountered again in the future (4). Active immunity can develop through two primary means: natural infection or artificial immunization (5, 6).

There are two types of actively acquired immunity: naturally acquired active immunity and artificially acquired active immunity.

Naturally acquired active immunity (7) develops when the body encounters pathogens through natural infections (8). For example, when a pathogen enters the body for the first time (9), the immune system responds by activating T and B lymphocytes (10). This leads to the formation of cytotoxic T cells (11), which kill infected cells, and antibodies (12), produced by B cells, which neutralize the pathogen (13). In addition to this immediate response, the immune system also produces T and B memory cells (14). These memory cells are long-lived (15) and provide a stronger and more rapid immune response if the same antigen is encountered later in life (16), effectively protecting the body from subsequent infections (18). For instance, after recovering from diseases like chickenpox, measles, or mumps (19), a person typically develops lifelong immunity to these pathogens due to the formation of memory cells.

Artificially acquired active immunity (20) occurs when immunity is induced through vaccination. In this process, attenuated pathogens or parts of pathogens are injected into the body (21), stimulating the immune system without causing disease. Vaccines are designed to provide long-lasting immunity (22) by triggering the production of memory cells, much like natural infections. Vaccines can be prepared in several ways (23-25). They may contain live attenuated pathogens (weakened versions of the virus or bacteria), killed or inactive pathogens, or subunit vaccines, which include only parts of the pathogen, such as microbial proteins or genes encoding these proteins (25). These components act as antigens (26), prompting the immune system to generate T and B memory cells (27), providing immunity without causing illness (28).

Examples of vaccines include the BCG vaccine for tuberculosis, the MMR vaccine for measles, mumps, and rubella, the polio vaccine, and the hepatitis B vaccine (29). These vaccines are crucial for preventing the spread of infectious diseases and offer long-lasting protection through the generation of memory cells, much like natural infections.

In summary, actively acquired immunity, whether developed naturally through infection or artificially through vaccination, provides long-term protection against specific pathogens. This immunity is based on the activation of T and B lymphocytes and the formation of memory cells, ensuring a quick and efficient immune response upon subsequent exposures to the same pathogen.",Essay
"Write in the correct sequence, the path ways of coagulant enzyme secreted from seminal vesicle until ejaculates.","Duct of seminal vesicle, ejaculatory duct, urethra",Structure
names from the given  Organism that contains both macro and micro nucleus,Paramecium,Structure
Indicate a major similarity and a difference in between the gametophyte of Pogonatum and gametophyte of Nephrolepis.,"Similarity: Photosynthetic 
Difference: Pogonatum- dioecious while Nephrolepis — monoecious ",Structure
What is lactation?,Synthesis and release of milk,Structure
Indicate the phase of the eukaryotic cell cycle for the following events.,"Micro tubules that attach to the kinetochore of the chromosomes move the chromosomes back and 
forth: Pro meta phase",Structure
write a short notes Oral contraceptives for females,"Oral contraceptives, commonly referred to as birth control pills, are a widely used method of preventing pregnancy in females. These medications primarily contain synthetic forms of the hormones progesterone and estrogen, which play critical roles in regulating the menstrual cycle and reproductive functions. The primary mechanism through which oral contraceptives work is by inhibiting the release of gonadotropin-releasing hormone (GnRH) from the hypothalamus, leading to a subsequent decrease in the secretion of follicle-stimulating hormone (FSH) and luteinizing hormone (LH) from the anterior pituitary gland. This inhibition occurs through a negative feedback mechanism, effectively preventing the natural hormonal fluctuations that lead to ovulation.

One of the most important functions of oral contraceptives is the prevention of LH release, which blocks ovulation. Without the LH surge, the ovaries do not release an egg, thus preventing the possibility of fertilization. Additionally, the inhibition of FSH secretion prevents the maturation of ovarian follicles, further reducing the chances of ovulation.

Some oral contraceptives contain only high levels of synthetic progesterone, also known as progestin. These types of contraceptives primarily work by thickening the cervical mucus, which acts as a barrier to sperm entry into the uterus. This thickened mucosal layer significantly hinders the movement of sperm, thereby reducing the likelihood of fertilization. Moreover, if fertilization does occur, these progestin-only contraceptives can interfere with implantation by altering the endometrium, making it less suitable for the attachment of a fertilized ovum.

In addition to oral contraceptives, other contraceptive methods include the use of intrauterine devices (IUDs), such as the T-shaped device known as a loop. This device is placed in the uterus and works by interfering with fertilization and preventing the implantation of a fertilized egg in the uterine lining.

Another option is Depo-Provera, which involves periodic injections of synthetic progesterone. This method similarly thickens the cervical mucosa to block sperm entry and, if fertilization occurs, it prevents implantation by thinning the endometrium.

Condoms, while not hormonal contraceptives, are another popular form of birth control for males. These physical barriers prevent sperm from entering the female reproductive tract, offering an effective means of contraception.

In conclusion, oral contraceptives for females represent a significant advancement in reproductive health, providing women with the ability to control their fertility through hormonal regulation. By inhibiting key hormonal processes, these contraceptives prevent ovulation and fertilization, thereby offering effective protection against unwanted pregnancies. As part of a broader contraceptive strategy, they can be complemented by devices like IUDs and other methods, allowing for personalized family planning choices.",Essay
"In which phases, the check points of mitosis found?","G1
 G2
 M ",Structure
Name the structural components of ATP?,"Ribose- sugar 
Adenine - nitreogenous base 
A chain of three phosphate groups. ",Structure
Indicate two storage sugars.,"Lactose 
Sucrose",Structure
Which photosynthetic molecule directly participates in the light dependent reactions of photosynthesis?,Chlorophyll a,Structure
Briefly describe the measures taken to conserve biodiversity at the national and global level.,"Conserving biodiversity is crucial for ensuring the long-term survival of species and maintaining the balance of ecosystems. At both national and global levels, various measures have been implemented to protect biodiversity and safeguard species that are in danger of extinction. The principal goal of conservation activity is to ensure that as many species as possible survive in the long term. For species that are in danger of extinction, special protection measures must be put in place to ensure their continued reproduction and survival.

Conservation efforts are generally divided into two main strategies: in-situ conservation and ex-situ conservation.

In-Situ Conservation
In-situ conservation involves the conservation of species, genes, or ecosystems in their natural habitat. This method allows species to continue to reproduce and thrive in their natural environments, while ensuring that they have a large enough population and sufficient habitat space. By protecting species in their natural ecosystems, in-situ conservation promotes natural evolutionary processes and ecological interactions.

Some key methods of in-situ conservation include:

Protected areas: Areas designated for biodiversity conservation, such as man and biosphere reserves or traditional home gardens, which offer safe environments for species.
Sanctuaries and national parks: These areas serve as vital spaces for the conservation of endangered species, providing the necessary protection and resources.
Species reintroductions: This involves reintroducing species that may have disappeared from an area back into their natural habitat to restore populations.
Ex-Situ Conservation
Ex-situ conservation refers to the conservation of biodiversity components outside their natural habitats. In this method, species are removed from their natural environments and are placed in conditions that simulate their natural habitats to support their reproduction and survival. This approach is especially important when species are at a critical risk of extinction in the wild.

Some of the methods of ex-situ conservation include:

Botanical gardens: These gardens conserve plant species by growing them under controlled conditions, sometimes replicating their natural environments.
Zoological gardens and turtle hatcheries: These facilities provide safe environments for animal species, promoting reproduction and survival outside the wild.
Field gene banks, seed banks, germplasm centers, and genetic resource centers: These institutions preserve genetic material to ensure the survival of plant and animal species for future generations.
Captive breeding and artificial breeding: These programs involve breeding endangered species in captivity to increase their populations before potentially releasing them back into the wild.
Acts and Conventions Related to Biodiversity Conservation
To protect biodiversity on a global scale, several international agreements and conventions have been established:

CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora): This convention aims to ensure that international trade in specimens of wild animals and plants does not threaten their survival. It regulates the trade of endangered species to prevent over-exploitation.

Biodiversity Convention: This international treaty focuses on the conservation of biodiversity, the sustainable use of its components, and the fair and equitable sharing of benefits that arise from the use of genetic resources.

Ramsar Convention: This treaty emphasizes the conservation of wetlands, especially those of international importance, particularly as habitats for waterfowl.

In conclusion, biodiversity conservation is a multifaceted effort that requires both in-situ and ex-situ approaches to protect species, ecosystems, and genetic diversity. National and global initiatives, including protected areas, breeding programs, and international conventions, play a crucial role in ensuring the survival and sustainable use of biodiversity for future generations.",Essay
What is vital capacity?,The maximum volume of air which can be inhaled and exhaled.,Structure
How does shoot apex differ from root apex?,"Differences Between Shoot Apex and Root Apex
The shoot apex and root apex are critical regions in the growth and development of plants, each serving unique functions and exhibiting distinct structural characteristics. Understanding these differences is essential for appreciating how plants adapt to their environments and optimize their growth.

One of the most notable differences between the two apices is the protective structures they possess. The root apex is safeguarded by a structure known as the root cap, which protects the delicate meristematic tissues as the root pushes through the soil. In contrast, the shoot apex does not have a root cap; instead, it is protected by leaf primordia, which are young leaf structures that shield the growing tip from environmental factors. This distinction highlights the different environments in which roots and shoots grow, with roots penetrating the soil and shoots exposed to air.

Another significant difference lies in the presence of buds. Buds are found in the shoot apex, where they play a crucial role in the development of new leaves and flowers. In the root apex, however, buds are absent. This absence is indicative of the different growth patterns of roots and shoots, with shoots being more involved in above-ground growth and reproduction.

The differentiation of vascular tissues also illustrates a fundamental difference between the shoot and root apices. In the zone of cell differentiation, the root apex produces exarch xylem, where the xylem develops outwardly from the center of the root. This arrangement is advantageous for root function, allowing for effective water and nutrient transport from the soil. Conversely, in the shoot apex, the xylem differentiates as endarch, meaning that the xylem develops inwardly toward the center of the stem. This structural difference reflects the contrasting roles of roots and shoots in plant physiology.

Additionally, the development of root hairs is a critical functional difference. Root hairs originate from the epidermis of the root apex, significantly increasing the root's surface area for water and nutrient absorption. In contrast, root hairs do not arise from the shoot apex, as the shoot is primarily focused on growth and development above ground rather than nutrient uptake.

In summary, the shoot apex and root apex exhibit several key differences in structure and function. The protective structures, presence of buds, differentiation patterns of xylem, and development of root hairs all highlight the specialized roles these apices play in the overall growth and adaptation of plants. Understanding these distinctions is vital for grasping how plants efficiently manage resources and respond to their environments, ultimately contributing to their survival and reproduction.",Essay
What is the hypothesis used to explain the phloem translocation in angiosperms?,Pressure flow (hypothesis),Structure
Briefly explain the function of sodium-potassium pump in maintaining the resting potential.,"Maintain Na + - K + gradient across the membrane
By transporting three Na + ions out of the cell for every two K + ions that it transports in.
Uses ATP to actively transport these ions.",Structure
Write short notes Prophase I,"Prophase I of Meiosis
Prophase I is the largest and most intricate phase of meiosis, a specialized type of cell division essential for sexual reproduction. During this phase, critical processes occur that set the stage for genetic diversity in the resulting gametes.

The hallmark of Prophase I is the pairing of homologous chromosomes, a process where each chromosome aligns closely with its homologous partner. This pairing is essential for the next stages of meiosis and allows for precise genetic recombination. As the chromosomes condense, they become more visible under a microscope, facilitating the observation of various key events that unfold during this phase.

A significant structure that forms during Prophase I is the synaptonemal complex, a zipper-like assembly that holds homologous chromosomes tightly together. This physical connection between homologues is referred to as synapsis. The close alignment of non-sister chromatids within these homologous pairs enables the exchange of genetic material through a process known as crossing over. During crossing over, segments of DNA from one chromatid are broken and exchanged with corresponding segments from the non-sister chromatid, promoting genetic diversity in the gametes.

As Prophase I progresses, the points where crossing over has occurred become visible as chiasmata after the disassembly of the synaptonemal complex. This visible marker indicates the locations where genetic exchange has taken place, emphasizing the significance of crossing over in generating genetic variation among offspring.

Another critical event in Prophase I is the breakdown of the nuclear envelope, which allows the meiotic spindle to interact with the chromosomes. In animal cells, the centrosomes move towards opposite poles of the cell, initiating the formation of the spindle apparatus. The spindle fibers then extend, and the kinetochores of each homologous chromosome attach to microtubules extending from one pole to the other.

At this stage, microtubules at one end join with the centromere of one of the homologous chromosomes, anchoring it for movement. This organization prepares the homologous pairs for alignment along the metaphase plate in the subsequent phase of meiosis.

In summary, Prophase I is a complex and dynamic phase of meiosis, characterized by the pairing and recombination of homologous chromosomes. It sets the foundation for genetic diversity through processes such as synapsis and crossing over, while also facilitating the organization of chromosomes for subsequent separation. This phase is crucial for ensuring that gametes contain a unique combination of genes, which contributes to the genetic variability seen in sexually reproducing populations.",Essay
Give one example plant for the vertically arranged leaves.,Grasses,Structure
In which part the eye absorbs the light after the entered light stimulate sensory receptors?,Choroid,Structure
Through in which the substances can move from cell to cell in symplastic path way?,(Through) plasmodesmata,Structure
Write two examples for carnivorous plants.,"Nepenthes  
Drosera
Utriculari",Structure
Indicate two functions of mucus found in the saliva,"Lubrication of food / makes it easier for swallowing 
 Clean the mouth 
Protects the lining of mouth from abrasion",Structure
What is reproduction?,"Reproduction is a biological process, through which a new generation, of individuals is produced from the existing organism",Structure
What is lactation? ,Lactation is the synthesis / production and release / ejection of milk from breasts / mammary glands ,Structure
State the necessary condition for pyruvate to enter into the mitochondrion.,Presence of molecular oxygen,Structure
What is the role of condyloid process that is found in human lower jaw?,articulates wit temporal bone and forms temporal mandibular joint,Structure
Give the products form during food spoilage by saccharolytic microorganisms.,"Alcohol
acids
gasses/ CO2",Structure
What is classification?,Arrangement of organisms into groups on the basis of the common characteristics,Structure
State whether the following substances are transported actively or passively across epithelium of intestinal villi.,"(a) Vitamins: Actively
(b) Amino acids: Actively
(c) Fructose: Passively",Structure
Name the part of the plant which function as sink?,"Growing roots, stems, buds, fruits",Structure
Write an account on human blood pressure.,"Human Blood Pressure: An Overview

Blood pressure is defined as the force exerted by circulating blood on the walls of blood vessels as it travels throughout the body. It plays a critical role in the systemic circulation, as it maintains the essential flow of blood into and out of the organs. Keeping blood pressure within normal limits is vital for the proper functioning of important organs such as the brain, heart, and kidneys.

Blood pressure is not static; it varies based on several factors, including the time of day, posture, gender, age, physical activity, stress, excitement, and even fear or anxiety. For instance, blood pressure typically falls when an individual is at rest or during sleep, demonstrating how physiological states influence this crucial parameter.

Blood pressure is expressed in two measurements: systolic and diastolic pressure. Systolic pressure refers to the pressure within the arterial system when the left ventricle contracts and ejects blood into the aorta. In a healthy adult, this pressure is typically around 120 mmHg. On the other hand, diastolic pressure is the pressure in the arteries during the relaxation phase of the heart, following the ejection of blood. A normal diastolic pressure is about 80 mmHg. Together, these measurements are recorded as a fraction, for example, 120/80 mmHg.

To assess arterial blood pressure, healthcare providers commonly use a sphygmomanometer, which can measure the two pressures accurately. When blood pressure consistently exceeds normal limits, this condition is referred to as hypertension. Hypertension is a significant health concern as it can lead to serious health complications.

Various risk factors contribute to the development of hypertension, including obesity, diabetes mellitus, family history of hypertension, smoking, sedentary lifestyle, high salt intake, excessive alcohol consumption, stress, and the deposition of low-density lipoproteins (LDL) in artery walls. The consequences of untreated hypertension can be severe, leading to kidney damage, adrenal gland disorders, heart attacks, strokes, and damaged blood vessels.

Conversely, hypotension refers to a sustained reduction of blood pressure below normal limits. Factors that can lead to hypotension include shock, dengue hemorrhagic fever, fasting, low nutritional intake, and standing up suddenly from a sitting or lying position. The consequences of hypotension can be equally concerning, as it may cause fainting or unconsciousness and, if prolonged, could potentially lead to death.

In conclusion, human blood pressure is a vital indicator of cardiovascular health. Maintaining it within normal limits is crucial for the effective functioning of various organs and overall health. Both hypertension and hypotension pose significant risks, underscoring the importance of monitoring and managing blood pressure through lifestyle choices and, when necessary, medical intervention. Understanding these dynamics can help individuals take proactive measures to safeguard their health and well-being.",Essay
) State the three substances produced in the light reaction of photosynthesis.,"NADPH 
 ATP 
 Oxygen/ O2",Structure
Which connects the two cerebral hemispheres and in which they made-up?,Semicircular canals ,Structure
What is genetic code?,Triplet of nucleotides sequence found in gene,Structure
Where the centre for the control of autonomic homeostatic functions located in human brain?,Medulla oblongata,Structure
"In C4 plants, indicate a substance / substances that produced in the bundle sheath cells during light dependent reactions.",ATP,Structure
Define the Invasive species,"It is a species, whose introduction and spread outside their natural geographic range threaten native biodiversity",Structure
Write the species name of Sri Lankan leopard using international codes of Binomial nomenclature.,Panthera pardus kotiya,Structure
Which are the essential nutritional elements to plants having the atmosphere as the source?,"Carbon 
Oxygen ",Structure
What is the basic difference between natural and arificial  claisfication,Natural classification shows evolutionary relationships and artificial classification do not show,Structure
The blood found in the sinusoids of the liver is derived from which blood vessels?,"hepatic portal vein and 
 hepatic artery ",Structure
What is the function of radula?,for feeding,Structure
Write the scientific name of Fruit with two wings and endemic to Srilanka :,Dipterocarpus zeylanicus,Structure
State three main differences between active immunity and passive immunity.,"Duration of Protection:
Active immunity provides long-lasting protection.
Passive immunity offers short-term protection.
Involvement of Lymphocytes:
Active immunity involves the activation of T and B lymphocytes.
Passive immunity does not involve T and B lymphocytes.
Memory Cells Development:
In active immunity, memory cells are developed, providing long-term immunologic memory.
In passive immunity, memory cells are not developed, and there is no immunologic memory.",Structure
What is meant by bisexual animals?,One individual organism has both female and male reproductive structures/ able to produce both male and female gametes,Structure
Write short notes Assisted reproductive technology,"Assisted Reproductive Technology
Assisted reproductive technology (ART) encompasses modern medical interventions designed to resolve infertility issues in humans. Infertility can stem from various causes, affecting both men and women. ART provides potential solutions through a range of techniques, with two primary methods being in vitro fertilization (IVF) and intracytoplasmic sperm injection (ICSI).

In Vitro Fertilization (IVF) is a widely recognized method of assisted reproduction. The process begins with the removal of oocyte(s) from the female's ovaries and sperm from a male donor. This procedure allows for fertilization to occur under controlled laboratory conditions rather than within the female body. The extracted oocytes are then combined with sperm in a specialized environment that mimics natural fertilization.

Once fertilization occurs, the resulting fertilized eggs are incubated in the laboratory until they reach a minimum of eight cells. This incubation period is crucial for ensuring that the embryos develop adequately before being transferred into the woman’s uterus. For successful fertilization during IVF, it is essential to have between 50,000 and 100,000 sperm available for each oocyte. The acrosome reaction, a process where enzymes are released from the sperm's acrosome, is necessary to penetrate the egg's protective layers, allowing fertilization to take place.

In contrast, Intracytoplasmic Sperm Injection (ICSI) is a more specialized procedure, particularly useful in cases where there are low sperm counts. In this technique, a single whole sperm or the sperm nucleus is directly injected into the cytoplasm of an oocyte that has been harvested from the woman's ovary. This method circumvents some of the barriers that sperm must naturally overcome during fertilization, making it effective even when sperm availability is limited. Notably, ICSI requires only one sperm per oocyte, simplifying the fertilization process in situations where traditional IVF may not succeed due to insufficient sperm.

In summary, assisted reproductive technology offers significant hope for individuals and couples facing infertility challenges. Through methods like IVF and ICSI, ART facilitates the union of sperm and egg under controlled conditions, improving the chances of successful conception and ultimately leading to healthy pregnancies. These technologies not only enhance reproductive choices but also contribute to advancements in reproductive health, helping many realize their dreams of parenthood.",Essay
Which hormone has an antagonistic effect to PTH?,Calcitonin,Structure
What are the functions of the above inflammatory signaling molecule?,Increase permeability and dilation of nearby blood vessels (blood capillaries),Structure
"Name the species of microorganism, which produce aflatoxin causing food intoxication.",Aspergillus flavus,Structure
Briefly describe how the sound is produced in the human larynx.,"When expired air rushes across the stretched or tensed vocal cords 
 causing them to vibrate (sound produces) ",Structure
Briefly explain how human kidney regulates blood osmatic pressure,"The human kidney plays a crucial role in regulating blood osmotic pressure through a complex feedback mechanism primarily controlled by the hormone antidiuretic hormone (ADH). When the osmotic pressure of the blood increases, it indicates that the blood is becoming more concentrated, which may occur due to dehydration or loss of water. This change in osmotic pressure is detected by specialized receptors called osmoreceptors located in the hypothalamus.

Upon detecting the increase in osmotic pressure, the osmoreceptors stimulate the posterior pituitary gland to release ADH into the bloodstream. ADH then travels to the kidneys, where it specifically targets the distal convoluted tubules and collecting ducts of the nephrons. Under the influence of ADH, these structures become more permeable to water, allowing water to be reabsorbed from the filtrate back into the blood. This increased reabsorption of water results in the production of hypertonic (concentrated) urine, helping to conserve water and lower the osmotic pressure of the blood back to normal levels.

Once the blood’s osmotic pressure is restored to a normal level, the mechanism is stopped through negative feedback, which reduces the release of ADH, thus preventing further water reabsorption.

Conversely, when the osmotic pressure of the blood falls, meaning the blood is too diluted (perhaps due to excessive water intake), the osmoreceptors are not stimulated, and as a result, the posterior pituitary gland does not release ADH. Without ADH, the distal convoluted tubule and collecting duct remain impermeable to water, preventing water reabsorption. As a result, the kidneys excrete a larger volume of hypotonic (dilute) urine, allowing the body to remove excess water and restore osmotic pressure to its normal range.

This dynamic process ensures the body maintains proper fluid balance and stable osmotic pressure, which is vital for normal cellular function and overall homeostasis.",Essay
State in correct sequence what happens in guard cells from the stage of accumulation of K* ions until the opening of stomata.,"Lowering of water potential / Increase in solute potential, 
Inflow of water (due to osmosis), 
Increase in turgor, 
Expansion of cells, 
Bending of inner wall / Draw away of inner walls from each other. ",Structure
How many ATP molecules does a glucose molecule produce when it enters the TCA cycle whether oxidative phosphorilation?,18ATP,Structure
Name the two types of nephrons present in the human kidney.,"Cortical nephrons
Juxtamedullary nephrons",Structure
"Name a class consisting of animals, which have both endoskeleton and exoskeleton.",Class Reptilia (not reptiles),Structure
Name the invertebrate phylum that includes following specific characters?,Open blood circulatory system - Arthropoda Exclusively marine forms _ Echinodermata Tough cuticle _ Nematoda All members are bisexual _ Platyhelminthese Exo skeleton _ Echinodermata,Structure
"From the cranium,  Name types of pair of bones","Two parietal bones
Two temporal bones",Structure
"Name an auto immune disease that is caused by the attack of T cells to destruct some cells of the body, other than neurons.",Diabetes mellites,Structure
Name a phylum which includes of animals without showing radial or bilateral symmetry.,(Phylum) Mollusca,Structure
Briefly indicate the consequences of a Rh – mother bears a Rh+ child for the first time and if she is pregnant for the second time with a Rh+ child.,"During delivery few Rh + red blood cells/ blood may enter the mother’s circulation
and cause the mother to produce Rh antibodies in her plasma
Antibodies produced in mother enter via placenta and affect the second Rh +fetus.",Structure
What is stress?,"Certain factors in the environment may have potentially adverse effects on plants’ survival, growth and reproduction.",Structure
Briefly explain the Metabolism,The sum of all chemical activities taking place in an organism,Structure
Usually what is the final product of the gene?,Poly peptide,Structure
Write the general formula of monosaccharides.,(CH2O)n,Structure
What is a biome.,A large geographical area which is classified based on the predominant vegetation adapted to the particular environment.,Structure
Indicate two nucleotides which are functioning as oxidizing agents.,"NAD*/FAD 
NADP* ",Structure
"Name two types of wastes defined as ""other wastes"" in Basel Convention.","Heavy metals Pb / Hg 
Hospital waste",Structure
How the access to water in apoplastic path way takes place?,uptake of soil solution of by hydrophilic walls of root hairs provide access,Structure
Considering the blood groups and Rh factor state the blood group of universal recipients.,AB*,Structure
What is the significance of the physical property of water- expansion upon freezing?,"In polar regions, where, organisms in aquatic bodies can survive the winter",Structure
What is significance of DNA replication?,"DNA polymerase can act 5’ – 3’ end
When the strand unwinds to a sufficient distance only
New strand formed piece by piece",Structure
List out the adjustments made in the eye for near vision?,"Movement of the eye ball 
Changing the refractory power of the lens ",Structure
Write two differences in the DNA replication between a prokaryotic and an eukaryotic.,"Prokaryotes usually have one Ori while an Eukaryotic chromosome has several Ori.
The DNA replication of the prokaryotes occurs continuously, where as in eukaryotes it happens only in the S-phase of cell cycle.
The DNA polymerases in eukaryotes and prokaryotes are different from each other in their structure",Structure
